importante;relevância;dimensão;magnitude;destaque;
medo;fobia;terror;pânico;apavoramento;receio;fraqueza;ignávia;valor;medo;
susto;receio;assombro;pânico;pavor;temor;
bom;generoso;caridoso;humano;benévolo;benigno;indulgente;misericordioso;clemente;
certo;correto;direito;verdadeiro;justo;acurado;indubitável;axiomatico;
grande;amplo;largo;longo;avantajado;
raiar;nascer;levantar;
vida;existência;presença;vivência;
continua;segue;prossegue;avança;sucede;permanece;
mofar;embolorar,esperar,aguardar;
dramatizar;exagerar;melodramar;aumentar;
entretanto;porém;contudo;mas;todavia;
atráves;por;tranversalmente;mediante;
fazer;realizar;executar;efetuar;praticar;prestar;fabricar;
contribuir;ajudar;auxiliar;cooperar;participar;favorecer;valer;
susbtituir;desalocar;comutar;cambiar;mudar;reciprocar;repor;trocar;
ressaltar;sobresair;ressair;evidenciar;altear;marcar;acentuar;
analisar;examinar;investigar;explorar;pesquisar;observar;everiguar;
trazer;transportar;carregar;desalocar;tranferir;mudar;conduzir;
problema;contrariedade;adversidade;contratempo;dificuldade;sufoco;osbtáculo;
objetivo;propósito;fim;finalidade;alvo;meta;destino;
relação;ligação;associação;conexão;vínculo;nexo;correlação;
identificar;reconhecer;distinguir;discernir;diferenciar;conhecer;
situação;conjuntura;circunstância;conjunção;cenário;contexto;passo;
instituição;entidade;organização;associação;fundação;
maior;sumo;supermo;súpero;
sofrer;padecer;penar;atormentar-se;
promover;propiciar;proporcionar;viabilizar;favorecer;suscitar;fomentar;
construir;edificar;esguer;arquitetar;obrar;promover;
